po_number,product_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,unit_cost,total_cost,order_status,delay_days,rush_order,receiving_warehouse
PO-2026-00951,PROD-1118,SUP-20,2026-01-07,2026-01-12,2026-01-11,71,71,277.34,19691.14,Received,-1,1,WH03
PO-2024-00952,PROD-1022,SUP-09,2024-05-27,2024-06-02,2024-06-11,158,158,480.66,75944.28,Received,9,1,WH02
PO-2025-00953,PROD-1213,SUP-07,2024-10-31,2024-12-10,2024-12-15,147,103,39.52,5809.4400000000005,Received,5,1,WH03
PO-2026-00954,PROD-1185,SUP-09,2025-11-12,2025-12-12,2025-12-16,197,197,272.19,53621.43,Received,4,0,WH01
PO-2024-00955,PROD-1092,SUP-09,2025-04-20,2025-05-10,2025-05-17,253,253,84.0,21252.0,Received,7,0,WH04
PO-2025-00956,PROD-1122,SUP-16,2024-02-27,2024-03-10,2024-03-14,164,164,122.6,20106.399999999998,Received,4,1,WH02
PO-2025-00957,PROD-1197,SUP-11,2025-05-30,2025-06-21,2025-06-18,181,181,432.36,78257.16,Received,-3,0,WH01
PO-2024-00958,PROD-1101,SUP-14,2024-11-06,2024-11-12,2024-11-19,227,227,203.11,46105.97,Received,7,1,WH03
PO-2025-00959,PROD-1076,SUP-05,2025-12-30,2026-01-14,2026-01-14,102,102,312.93,31918.86,Received,0,0,WH04
PO-2025-00960,PROD-1006,SUP-20,2024-07-13,2024-08-03,2024-08-01,209,209,88.34,18463.06,Received,-2,0,WH02
PO-2026-00961,PROD-1058,SUP-14,2025-03-26,2025-04-02,2025-04-07,200,200,129.52,25904.000000000004,Received,5,1,WH03
PO-2025-00962,PROD-1094,SUP-11,2025-01-15,2025-01-30,2025-02-07,231,186,243.45,56236.95,Received,8,1,WH03
PO-2024-00963,PROD-1162,SUP-17,2026-01-20,2026-01-29,2026-01-26,271,271,203.45,55134.95,Received,-3,1,WH01
PO-2025-00964,PROD-1078,SUP-18,2025-11-07,2025-11-21,2025-11-26,53,53,54.54,2890.62,Received,5,1,WH02
PO-2024-00965,PROD-1217,SUP-16,2025-04-27,2025-05-07,2025-05-13,163,157,243.67,39718.21,Received,6,1,WH04
PO-2024-00966,PROD-1199,SUP-16,2024-07-11,2024-07-29,2024-07-29,200,200,250.6,50120.0,Received,0,1,WH02
PO-2025-00967,PROD-1029,SUP-11,2025-10-04,2025-11-10,2025-11-18,206,206,139.45,28726.699999999997,Received,8,0,WH03
PO-2024-00968,PROD-1035,SUP-13,2025-08-11,2025-09-03,2025-09-10,155,155,148.16,22964.8,Received,7,0,WH01
PO-2025-00969,PROD-1206,SUP-11,2024-07-07,2024-07-24,2024-08-03,119,119,441.98,52595.62,Received,10,1,WH01
PO-2024-00970,PROD-1111,SUP-03,2024-10-15,2024-11-05,2024-11-10,136,136,206.7,28111.199999999997,Received,5,1,WH01
PO-2024-00971,PROD-1022,SUP-09,2025-12-03,2025-12-28,2026-01-07,208,208,480.66,99977.28,Received,10,0,WH03
PO-2025-00972,PROD-1021,SUP-08,2025-02-13,2025-02-28,2025-02-28,169,169,261.38,44173.22,Received,0,0,WH04
PO-2024-00973,PROD-1147,SUP-21,2025-02-23,2025-03-12,2025-03-13,166,166,348.5,57851.0,Received,1,1,WH01
PO-2024-00974,PROD-1084,SUP-01,2025-06-07,2025-07-01,2025-06-29,96,96,62.8,6028.799999999999,Received,-2,0,WH01
PO-2024-00975,PROD-1171,SUP-21,2024-03-21,2024-04-17,2024-04-27,193,193,486.88,93967.84,Received,10,1,WH04
PO-2025-00976,PROD-1189,SUP-09,2024-08-05,2024-08-16,2024-08-22,242,242,295.76,71573.92,Received,6,0,WH04
PO-2024-00977,PROD-1018,SUP-17,2024-08-29,2024-09-28,2024-10-04,294,269,364.18,107068.92,Received,6,1,WH04
PO-2026-00978,PROD-1002,SUP-18,2024-11-02,2024-12-06,2024-12-14,179,179,122.03,21843.37,Received,8,0,WH03
PO-2024-00979,PROD-1216,SUP-14,2025-05-17,2025-06-19,2025-06-28,295,295,135.7,40031.5,Received,9,0,WH01
PO-2024-00980,PROD-1180,SUP-18,2024-10-21,2024-11-01,2024-11-01,255,255,91.05,23217.75,Received,0,0,WH02
PO-2024-00981,PROD-1134,SUP-06,2025-10-17,2025-11-25,2025-11-26,249,249,111.68,27808.320000000003,Received,1,0,WH03
PO-2024-00982,PROD-1212,SUP-17,2024-08-15,2024-08-31,2024-09-02,206,136,490.21,100983.26,Received,2,1,WH02
PO-2026-00983,PROD-1159,SUP-22,2025-10-19,2025-10-29,2025-10-29,201,201,350.78,70506.78,Received,0,1,WH01
PO-2025-00984,PROD-1144,SUP-07,2024-11-12,2024-11-26,2024-11-26,62,62,368.14,22824.68,Received,0,0,WH03
PO-2024-00985,PROD-1091,SUP-02,2025-02-01,2025-02-28,2025-03-07,78,78,153.78,11994.84,Received,7,0,WH01
PO-2024-00986,PROD-1219,SUP-08,2025-06-25,2025-07-21,2025-07-22,162,162,198.56,32166.72,Received,1,0,WH03
PO-2025-00987,PROD-1013,SUP-15,2025-12-05,2025-12-19,2025-12-16,248,248,17.59,4362.32,Received,-3,0,WH04
PO-2024-00988,PROD-1174,SUP-14,2024-09-25,2024-10-08,2024-10-14,94,94,243.84,22920.96,Received,6,0,WH02
PO-2025-00989,PROD-1053,SUP-16,2025-11-28,2025-12-21,2025-12-27,183,183,192.7,35264.1,Received,6,1,WH03
PO-2026-00990,PROD-1084,SUP-01,2024-12-08,2024-12-20,2024-12-29,261,261,62.8,16390.8,Received,9,1,WH01
PO-2025-00991,PROD-1051,SUP-19,2026-01-04,2026-02-09,2026-02-18,230,230,138.81,31926.3,Received,9,0,WH01
PO-2025-00992,PROD-1042,SUP-18,2024-02-29,2024-03-13,2024-03-17,134,134,326.24,43716.16,Received,4,1,WH02
PO-2025-00993,PROD-1095,SUP-07,2025-01-13,2025-01-28,2025-02-06,213,213,346.83,73874.79,Received,9,0,WH01
PO-2024-00994,PROD-1042,SUP-18,2025-10-27,2025-11-02,2025-11-10,101,101,326.24,32950.24,Received,8,0,WH01
PO-2025-00995,PROD-1161,SUP-03,2025-08-15,2025-09-06,2025-09-12,116,75,428.45,49700.2,Received,6,1,WH03
PO-2026-00996,PROD-1025,SUP-10,2024-01-28,2024-02-02,2024-02-06,197,197,270.77,53341.689999999995,Received,4,0,WH04
PO-2026-00997,PROD-1039,SUP-14,2024-12-08,2025-01-09,2025-01-11,169,169,395.51,66841.19,Received,2,1,WH04
PO-2024-00998,PROD-1213,SUP-07,2025-11-07,2025-12-05,2025-12-09,94,94,39.52,3714.88,Received,4,0,WH04
PO-2026-00999,PROD-1120,SUP-08,2024-06-25,2024-08-03,2024-08-02,155,155,42.26,6550.299999999999,Received,-1,0,WH02
PO-2026-01000,PROD-1003,SUP-20,2025-07-28,2025-09-03,2025-09-06,217,217,342.27,74272.59,Received,3,0,WH04
PO-2026-01001,PROD-1213,SUP-07,2025-07-03,2025-08-05,2025-08-11,242,242,39.52,9563.84,Received,6,1,WH04
PO-2025-01002,PROD-1161,SUP-03,2024-02-23,2024-04-02,2024-03-31,241,241,428.45,103256.45,Received,-2,1,WH03
PO-2024-01003,PROD-1085,SUP-03,2025-04-01,2025-05-09,2025-05-10,114,114,179.44,20456.16,Received,1,1,WH03
PO-2025-01004,PROD-1134,SUP-06,2024-04-20,2024-05-18,2024-05-19,77,77,111.68,8599.36,Received,1,1,WH03
PO-2024-01005,PROD-1218,SUP-18,2024-04-13,2024-05-20,2024-05-20,226,226,187.6,42397.6,Received,0,1,WH04
PO-2025-01006,PROD-1027,SUP-09,2025-05-11,2025-05-29,2025-06-05,259,259,482.7,125019.3,Received,7,1,WH03
PO-2025-01007,PROD-1189,SUP-09,2025-04-19,2025-05-06,2025-05-03,80,80,295.76,23660.8,Received,-3,1,WH04
PO-2025-01008,PROD-1108,SUP-12,2024-10-18,2024-11-01,2024-11-03,239,239,498.87,119229.93000000001,Received,2,1,WH04
PO-2024-01009,PROD-1171,SUP-21,2025-11-07,2025-12-05,2025-12-15,254,172,486.88,123667.52,Received,10,0,WH02
PO-2025-01010,PROD-1208,SUP-20,2024-02-29,2024-03-11,2024-03-20,195,195,476.63,92942.85,Received,9,0,WH04
PO-2024-01011,PROD-1106,SUP-18,2024-07-12,2024-08-18,2024-08-17,273,273,356.71,97381.82999999999,Received,-1,0,WH02
PO-2025-01012,PROD-1069,SUP-13,2025-09-04,2025-10-05,2025-10-04,157,157,303.0,47571.0,Received,-1,1,WH01
PO-2025-01013,PROD-1076,SUP-05,2024-08-14,2024-09-05,2024-09-03,131,131,312.93,40993.83,Received,-2,0,WH01
PO-2026-01014,PROD-1124,SUP-04,2025-12-31,2026-01-17,2026-01-26,260,260,236.21,61414.6,Received,9,0,WH04
PO-2026-01015,PROD-1150,SUP-10,2025-10-19,2025-10-29,2025-11-08,238,238,491.12,116886.56,Received,10,0,WH01
PO-2026-01016,PROD-1104,SUP-16,2025-08-28,2025-09-06,2025-09-11,136,136,124.94,16991.84,Received,5,0,WH01
PO-2025-01017,PROD-1141,SUP-22,2024-02-12,2024-02-25,2024-02-24,76,76,259.84,19747.839999999997,Received,-1,1,WH01
PO-2025-01018,PROD-1173,SUP-05,2024-10-24,2024-11-07,2024-11-07,78,78,154.07,12017.46,Received,0,1,WH01
PO-2026-01019,PROD-1025,SUP-10,2025-10-31,2025-11-22,2025-11-28,75,56,270.77,20307.75,Received,6,0,WH03
PO-2024-01020,PROD-1091,SUP-02,2024-12-02,2024-12-30,2024-12-29,259,259,153.78,39829.02,Received,-1,1,WH03
PO-2024-01021,PROD-1036,SUP-05,2025-04-20,2025-05-29,2025-05-26,211,211,9.01,1901.11,Received,-3,0,WH04
PO-2026-01022,PROD-1171,SUP-21,2024-01-18,2024-01-29,2024-02-05,185,185,486.88,90072.8,Received,7,0,WH02
PO-2026-01023,PROD-1121,SUP-05,2024-02-23,2024-03-22,2024-03-30,125,125,186.09,23261.25,Received,8,1,WH04
PO-2026-01024,PROD-1209,SUP-09,2026-01-17,2026-01-26,2026-01-27,163,163,166.71,27173.73,Received,1,1,WH01
PO-2024-01025,PROD-1166,SUP-14,2025-05-22,2025-06-16,2025-06-20,130,130,393.1,51103.0,Received,4,0,WH01
PO-2026-01026,PROD-1147,SUP-21,2025-01-03,2025-01-22,2025-01-20,68,68,348.5,23698.0,Received,-2,1,WH01
PO-2026-01027,PROD-1195,SUP-22,2024-05-29,2024-06-05,2024-06-02,104,104,323.26,33619.04,Received,-3,0,WH01
PO-2024-01028,PROD-1098,SUP-11,2024-06-18,2024-07-24,2024-07-28,130,130,85.81,11155.300000000001,Received,4,1,WH02
PO-2026-01029,PROD-1093,SUP-13,2024-02-07,2024-03-06,2024-03-07,253,253,267.98,67798.94,Received,1,1,WH03
PO-2026-01030,PROD-1064,SUP-08,2025-04-23,2025-05-04,2025-05-12,90,90,448.09,40328.1,Received,8,0,WH01
PO-2025-01031,PROD-1005,SUP-15,2025-02-22,2025-02-28,2025-03-04,182,153,416.93,75881.26,Received,4,1,WH02
PO-2024-01032,PROD-1171,SUP-21,2024-05-09,2024-05-26,2024-05-25,142,142,486.88,69136.96,Received,-1,0,WH02
PO-2025-01033,PROD-1059,SUP-18,2024-01-20,2024-02-24,2024-02-28,93,93,22.14,2059.02,Received,4,1,WH04
PO-2024-01034,PROD-1070,SUP-11,2025-10-18,2025-10-31,2025-11-02,129,129,270.84,34938.35999999999,Received,2,0,WH04
PO-2025-01035,PROD-1004,SUP-11,2024-03-17,2024-04-03,2024-04-10,69,69,305.78,21098.82,Received,7,0,WH01
PO-2026-01036,PROD-1113,SUP-02,2025-12-15,2026-01-17,2026-01-23,85,85,173.85,14777.25,Received,6,0,WH03
PO-2024-01037,PROD-1157,SUP-18,2025-04-10,2025-05-02,2025-05-09,182,182,95.98,17468.36,Received,7,0,WH01
PO-2024-01038,PROD-1219,SUP-08,2025-10-22,2025-10-31,2025-11-10,262,262,198.56,52022.72,Received,10,1,WH04
PO-2025-01039,PROD-1140,SUP-19,2026-01-08,2026-02-11,2026-02-21,254,254,199.99,50797.46,Received,10,1,WH04
PO-2024-01040,PROD-1155,SUP-02,2024-06-10,2024-07-09,2024-07-19,166,166,280.03,46484.979999999996,Received,10,0,WH03
PO-2026-01041,PROD-1066,SUP-14,2025-07-28,2025-08-18,2025-08-21,247,247,282.51,69779.97,Received,3,0,WH01
PO-2026-01042,PROD-1034,SUP-08,2025-06-09,2025-06-21,2025-06-26,90,73,198.65,17878.5,Received,5,0,WH01
PO-2025-01043,PROD-1061,SUP-20,2024-07-11,2024-08-14,2024-08-19,262,262,57.22,14991.64,Received,5,0,WH03
PO-2026-01044,PROD-1208,SUP-20,2024-01-05,2024-02-02,2024-02-11,171,89,476.63,81503.73,Received,9,1,WH03
PO-2024-01045,PROD-1190,SUP-15,2024-05-18,2024-05-28,2024-06-03,135,135,489.49,66081.15,Received,6,0,WH04
PO-2026-01046,PROD-1030,SUP-18,2025-03-09,2025-04-03,2025-04-13,290,290,149.54,43366.6,Received,10,1,WH02
PO-2024-01047,PROD-1188,SUP-03,2024-03-24,2024-04-28,2024-05-08,256,256,126.73,32442.88,Received,10,1,WH03
PO-2026-01048,PROD-1196,SUP-13,2025-02-03,2025-03-06,2025-03-14,265,265,335.12,88806.8,Received,8,0,WH03
PO-2026-01049,PROD-1024,SUP-03,2024-12-06,2025-01-05,2025-01-13,257,257,374.17,96161.69,Received,8,0,WH04
PO-2025-01050,PROD-1088,SUP-05,2025-02-14,2025-03-07,2025-03-09,56,56,324.55,18174.8,Received,2,1,WH02
PO-2025-01051,PROD-1157,SUP-18,2025-11-04,2025-11-21,2025-11-28,162,162,95.98,15548.76,Received,7,1,WH01
PO-2024-01052,PROD-1112,SUP-21,2025-12-16,2026-01-18,2026-01-26,200,148,18.46,3692.0,Received,8,0,WH03
PO-2024-01053,PROD-1114,SUP-01,2025-08-28,2025-09-21,2025-09-21,86,86,317.91,27340.260000000002,Received,0,1,WH03
PO-2024-01054,PROD-1191,SUP-08,2024-03-13,2024-04-13,2024-04-15,66,58,244.4,16130.4,Received,2,1,WH02
PO-2024-01055,PROD-1077,SUP-20,2024-01-17,2024-02-20,2024-02-27,298,298,149.23,44470.53999999999,Received,7,1,WH01
PO-2025-01056,PROD-1038,SUP-03,2024-03-11,2024-03-28,2024-03-31,224,224,356.25,79800.0,Received,3,0,WH04
PO-2025-01057,PROD-1036,SUP-05,2025-07-25,2025-08-10,2025-08-15,91,91,9.01,819.91,Received,5,1,WH02
PO-2024-01058,PROD-1152,SUP-20,2025-06-14,2025-07-22,2025-07-25,295,295,131.89,38907.549999999996,Received,3,0,WH04
PO-2026-01059,PROD-1043,SUP-15,2024-03-31,2024-04-11,2024-04-21,217,217,457.65,99310.04999999999,Received,10,0,WH04
PO-2024-01060,PROD-1168,SUP-04,2024-03-26,2024-04-26,2024-04-30,88,88,291.18,25623.84,Received,4,1,WH02
PO-2024-01061,PROD-1181,SUP-16,2025-05-13,2025-06-10,2025-06-19,293,293,184.5,54058.5,Received,9,0,WH03
PO-2024-01062,PROD-1188,SUP-03,2025-12-30,2026-02-03,2026-02-09,119,119,126.73,15080.87,Received,6,0,WH01
PO-2024-01063,PROD-1214,SUP-03,2025-08-08,2025-09-16,2025-09-24,140,140,154.24,21593.600000000002,Received,8,1,WH02
PO-2024-01064,PROD-1052,SUP-13,2024-11-28,2025-01-04,2025-01-02,71,71,281.5,19986.5,Received,-2,0,WH04
PO-2026-01065,PROD-1211,SUP-01,2025-04-13,2025-05-08,2025-05-10,109,109,287.0,31283.0,Received,2,0,WH01
PO-2024-01066,PROD-1148,SUP-08,2024-05-10,2024-05-15,2024-05-19,149,149,115.82,17257.18,Received,4,0,WH04
PO-2024-01067,PROD-1219,SUP-08,2025-09-03,2025-10-06,2025-10-11,109,109,198.56,21643.04,Received,5,1,WH01
PO-2026-01068,PROD-1092,SUP-09,2024-06-14,2024-07-14,2024-07-18,243,243,84.0,20412.0,Received,4,1,WH04
PO-2024-01069,PROD-1088,SUP-05,2024-03-01,2024-03-27,2024-03-29,204,204,324.55,66208.2,Received,2,0,WH04
PO-2026-01070,PROD-1063,SUP-16,2025-01-06,2025-01-28,2025-02-05,286,286,102.46,29303.559999999998,Received,8,1,WH01
PO-2025-01071,PROD-1131,SUP-20,2025-04-25,2025-05-27,2025-06-04,171,171,348.51,59595.21,Received,8,1,WH04
PO-2026-01072,PROD-1081,SUP-19,2024-06-19,2024-07-28,2024-08-06,155,155,209.42,32460.1,Received,9,0,WH02
PO-2026-01073,PROD-1039,SUP-14,2025-09-23,2025-10-04,2025-10-08,227,227,395.51,89780.77,Received,4,0,WH04
PO-2025-01074,PROD-1063,SUP-16,2024-08-12,2024-09-16,2024-09-19,194,194,102.46,19877.239999999998,Received,3,0,WH01
PO-2026-01075,PROD-1058,SUP-14,2024-03-01,2024-03-06,2024-03-16,263,263,129.52,34063.76,Received,10,0,WH01
PO-2025-01076,PROD-1095,SUP-07,2025-02-05,2025-03-16,2025-03-17,260,260,346.83,90175.8,Received,1,1,WH04
PO-2026-01077,PROD-1075,SUP-15,2024-08-31,2024-10-09,2024-10-06,50,40,440.47,22023.5,Received,-3,1,WH03
PO-2025-01078,PROD-1125,SUP-19,2024-10-26,2024-11-15,2024-11-25,256,256,491.74,125885.44,Received,10,0,WH01
PO-2024-01079,PROD-1146,SUP-19,2024-07-31,2024-08-22,2024-08-31,76,39,271.64,20644.64,Received,9,1,WH04
PO-2026-01080,PROD-1002,SUP-18,2024-04-22,2024-05-26,2024-05-31,99,99,122.03,12080.97,Received,5,1,WH01
PO-2025-01081,PROD-1100,SUP-09,2025-09-01,2025-09-24,2025-09-29,201,201,279.93,56265.93,Received,5,0,WH02
PO-2025-01082,PROD-1071,SUP-22,2024-12-13,2025-01-14,2025-01-16,60,60,103.12,6187.200000000001,Received,2,0,WH04
PO-2025-01083,PROD-1022,SUP-09,2025-11-29,2025-12-20,2025-12-22,256,256,480.66,123048.96,Received,2,0,WH04
PO-2024-01084,PROD-1009,SUP-18,2025-05-30,2025-06-26,2025-06-29,149,149,378.17,56347.33,Received,3,1,WH02
PO-2024-01085,PROD-1144,SUP-07,2025-07-29,2025-08-29,2025-09-03,118,118,368.14,43440.52,Received,5,0,WH01
PO-2024-01086,PROD-1080,SUP-13,2025-05-21,2025-05-27,2025-06-03,171,171,110.78,18943.38,Received,7,1,WH04
PO-2025-01087,PROD-1126,SUP-07,2025-09-14,2025-09-26,2025-10-05,234,234,200.61,46942.740000000005,Received,9,0,WH02
PO-2026-01088,PROD-1078,SUP-18,2025-06-24,2025-06-29,2025-07-03,207,207,54.54,11289.78,Received,4,0,WH03
PO-2025-01089,PROD-1118,SUP-20,2025-03-31,2025-05-07,2025-05-07,256,256,277.34,70999.04,Received,0,1,WH03
PO-2026-01090,PROD-1202,SUP-16,2026-01-15,2026-01-28,2026-02-07,210,210,23.71,4979.1,Received,10,1,WH02
PO-2026-01091,PROD-1131,SUP-20,2025-07-31,2025-09-03,2025-09-01,155,155,348.51,54019.049999999996,Received,-2,0,WH03
PO-2025-01092,PROD-1084,SUP-01,2024-10-01,2024-10-15,2024-10-12,121,121,62.8,7598.799999999999,Received,-3,1,WH03
PO-2025-01093,PROD-1215,SUP-08,2025-08-13,2025-09-05,2025-09-14,247,247,97.07,23976.289999999997,Received,9,1,WH01
PO-2025-01094,PROD-1009,SUP-18,2024-07-11,2024-07-17,2024-07-21,112,112,378.17,42355.04,Received,4,1,WH02
PO-2024-01095,PROD-1191,SUP-08,2026-01-19,2026-02-08,2026-02-17,246,246,244.4,60122.4,Received,9,1,WH02
PO-2024-01096,PROD-1085,SUP-03,2024-11-05,2024-12-03,2024-12-07,248,248,179.44,44501.12,Received,4,1,WH03
PO-2026-01097,PROD-1071,SUP-22,2025-05-13,2025-06-01,2025-06-04,71,71,103.12,7321.52,Received,3,0,WH04
PO-2025-01098,PROD-1191,SUP-08,2025-06-20,2025-07-27,2025-08-04,73,73,244.4,17841.2,Received,8,0,WH01
PO-2026-01099,PROD-1034,SUP-08,2024-10-17,2024-11-01,2024-11-11,117,117,198.65,23242.05,Received,10,0,WH01
PO-2026-01100,PROD-1216,SUP-14,2025-10-11,2025-11-19,2025-11-27,76,76,135.7,10313.199999999999,Received,8,0,WH03
PO-2024-01101,PROD-1084,SUP-01,2025-01-21,2025-01-29,2025-01-27,290,290,62.8,18212.0,Received,-2,0,WH03
PO-2026-01102,PROD-1213,SUP-07,2024-12-18,2025-01-19,2025-01-20,144,144,39.52,5690.88,Received,1,1,WH02
PO-2024-01103,PROD-1033,SUP-05,2024-03-24,2024-05-01,2024-05-05,91,53,212.85,19369.35,Received,4,0,WH02
PO-2026-01104,PROD-1212,SUP-17,2025-06-01,2025-06-09,2025-06-16,239,239,490.21,117160.19,Received,7,1,WH02
PO-2024-01105,PROD-1158,SUP-14,2024-06-16,2024-07-03,2024-07-13,93,93,140.88,13101.84,Received,10,0,WH02
PO-2026-01106,PROD-1072,SUP-22,2024-07-16,2024-07-22,2024-07-21,116,116,471.54,54698.64,Received,-1,0,WH03
PO-2025-01107,PROD-1097,SUP-11,2025-10-12,2025-11-15,2025-11-12,254,254,123.57,31386.78,Received,-3,1,WH03
PO-2024-01108,PROD-1078,SUP-18,2024-02-06,2024-02-28,2024-02-29,98,98,54.54,5344.92,Received,1,1,WH01
PO-2025-01109,PROD-1166,SUP-14,2024-06-16,2024-07-23,2024-07-30,163,163,393.1,64075.3,Received,7,0,WH03
PO-2026-01110,PROD-1096,SUP-15,2025-05-27,2025-06-20,2025-06-26,219,219,136.17,29821.229999999996,Received,6,1,WH04
PO-2025-01111,PROD-1122,SUP-16,2024-07-14,2024-07-24,2024-07-29,196,196,122.6,24029.6,Received,5,1,WH03
PO-2026-01112,PROD-1005,SUP-15,2024-09-06,2024-09-25,2024-09-25,121,121,416.93,50448.53,Received,0,1,WH01
PO-2026-01113,PROD-1125,SUP-19,2026-01-29,2026-02-13,2026-02-13,240,240,491.74,118017.6,Received,0,1,WH01
PO-2026-01114,PROD-1021,SUP-08,2025-12-17,2026-01-22,2026-02-01,82,82,261.38,21433.16,Received,10,1,WH02
PO-2026-01115,PROD-1139,SUP-10,2024-10-14,2024-11-03,2024-11-04,223,223,470.38,104894.74,Received,1,1,WH02
PO-2024-01116,PROD-1099,SUP-13,2025-04-28,2025-05-08,2025-05-14,223,223,110.94,24739.62,Received,6,0,WH02
PO-2025-01117,PROD-1093,SUP-13,2024-04-12,2024-04-24,2024-04-23,71,71,267.98,19026.58,Received,-1,1,WH03
PO-2025-01118,PROD-1207,SUP-09,2025-02-26,2025-03-05,2025-03-11,115,115,374.36,43051.4,Received,6,1,WH02
PO-2026-01119,PROD-1169,SUP-14,2026-01-20,2026-02-11,2026-02-13,130,130,187.4,24362.0,Received,2,1,WH01
PO-2026-01120,PROD-1029,SUP-11,2024-10-18,2024-11-23,2024-11-30,276,276,139.45,38488.2,Received,7,0,WH03
PO-2026-01121,PROD-1024,SUP-03,2024-06-01,2024-06-20,2024-06-27,238,238,374.17,89052.46,Received,7,1,WH01
PO-2025-01122,PROD-1077,SUP-20,2025-02-25,2025-03-27,2025-03-29,231,231,149.23,34472.13,Received,2,1,WH02
PO-2024-01123,PROD-1135,SUP-10,2025-11-20,2025-12-28,2025-12-26,162,162,356.15,57696.299999999996,Received,-2,1,WH04
PO-2026-01124,PROD-1086,SUP-21,2025-06-05,2025-06-19,2025-06-26,59,41,453.6,26762.4,Received,7,1,WH01
PO-2024-01125,PROD-1171,SUP-21,2024-08-31,2024-09-27,2024-09-30,258,258,486.88,125615.04,Received,3,0,WH03
PO-2024-01126,PROD-1214,SUP-03,2025-01-25,2025-02-07,2025-02-09,130,130,154.24,20051.2,Received,2,0,WH04
PO-2024-01127,PROD-1216,SUP-14,2025-11-04,2025-12-02,2025-12-02,116,116,135.7,15741.199999999999,Received,0,0,WH04
PO-2026-01128,PROD-1130,SUP-06,2024-03-04,2024-03-12,2024-03-13,292,292,255.08,74483.36,Received,1,0,WH03
PO-2025-01129,PROD-1082,SUP-19,2025-06-26,2025-08-02,2025-08-06,79,79,441.87,34907.73,Received,4,0,WH01
PO-2024-01130,PROD-1138,SUP-01,2025-09-09,2025-09-25,2025-10-03,273,273,49.9,13622.699999999999,Received,8,0,WH01
PO-2024-01131,PROD-1117,SUP-01,2025-03-18,2025-04-03,2025-04-10,102,102,225.0,22950.0,Received,7,0,WH04
PO-2026-01132,PROD-1150,SUP-10,2025-02-09,2025-03-01,2025-02-27,207,207,491.12,101661.84,Received,-2,0,WH02
PO-2024-01133,PROD-1123,SUP-22,2024-12-10,2024-12-26,2025-01-03,281,281,401.96,112950.76,Received,8,1,WH02
PO-2025-01134,PROD-1181,SUP-16,2025-12-28,2026-02-05,2026-02-09,164,164,184.5,30258.0,Received,4,0,WH04
PO-2026-01135,PROD-1065,SUP-09,2025-12-27,2026-01-04,2026-01-06,93,93,238.73,22201.89,Received,2,1,WH01
PO-2026-01136,PROD-1034,SUP-08,2025-01-14,2025-01-24,2025-01-21,184,184,198.65,36551.6,Received,-3,0,WH01
PO-2026-01137,PROD-1209,SUP-09,2024-08-17,2024-08-24,2024-08-30,90,90,166.71,15003.900000000001,Received,6,0,WH03
PO-2025-01138,PROD-1013,SUP-15,2024-10-08,2024-11-02,2024-10-31,64,64,17.59,1125.76,Received,-2,1,WH04
PO-2024-01139,PROD-1039,SUP-14,2024-11-06,2024-11-16,2024-11-25,100,100,395.51,39551.0,Received,9,1,WH03
PO-2024-01140,PROD-1101,SUP-14,2025-12-18,2025-12-25,2025-12-27,241,241,203.11,48949.51,Received,2,1,WH02
PO-2025-01141,PROD-1102,SUP-09,2025-06-21,2025-07-24,2025-07-28,192,192,34.32,6589.4400000000005,Received,4,1,WH04
PO-2024-01142,PROD-1044,SUP-14,2026-01-02,2026-01-26,2026-02-02,157,157,425.32,66775.24,Received,7,0,WH02
PO-2026-01143,PROD-1129,SUP-12,2024-10-08,2024-10-14,2024-10-23,226,226,77.06,17415.56,Received,9,0,WH04
PO-2025-01144,PROD-1125,SUP-19,2025-08-28,2025-09-13,2025-09-22,107,107,491.74,52616.18,Received,9,1,WH01
PO-2024-01145,PROD-1127,SUP-15,2025-11-24,2025-12-17,2025-12-15,213,213,408.58,87027.54,Received,-2,0,WH02
PO-2024-01146,PROD-1180,SUP-18,2024-06-10,2024-06-15,2024-06-19,139,127,91.05,12655.949999999999,Received,4,1,WH02
PO-2026-01147,PROD-1018,SUP-17,2025-08-01,2025-08-20,2025-08-26,55,55,364.18,20029.9,Received,6,1,WH03
PO-2024-01148,PROD-1063,SUP-16,2024-03-21,2024-04-20,2024-04-22,183,183,102.46,18750.18,Received,2,0,WH04
PO-2026-01149,PROD-1182,SUP-15,2025-08-20,2025-08-31,2025-08-29,54,42,372.6,20120.4,Received,-2,0,WH01
PO-2024-01150,PROD-1014,SUP-09,2024-08-16,2024-09-02,2024-08-31,259,259,421.46,109158.14,Received,-2,1,WH03
PO-2024-01151,PROD-1067,SUP-16,2025-11-21,2025-12-20,2025-12-24,173,173,348.37,60268.01,Received,4,0,WH01
PO-2026-01152,PROD-1114,SUP-01,2024-12-18,2024-12-29,2025-01-05,139,139,317.91,44189.490000000005,Received,7,1,WH01
PO-2024-01153,PROD-1216,SUP-14,2024-04-04,2024-05-03,2024-05-13,219,134,135.7,29718.3,Received,10,1,WH02
PO-2024-01154,PROD-1074,SUP-06,2024-07-29,2024-08-14,2024-08-19,277,277,348.0,96396.0,Received,5,0,WH02
PO-2026-01155,PROD-1130,SUP-06,2024-08-10,2024-08-28,2024-08-27,55,55,255.08,14029.400000000001,Received,-1,1,WH02
